Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
C,Rudy Gobert,7300,Pho@Uta 08:00PM ET,35.242,Uta,1,0,40.321,26.821,37.000,35.750,24.000,43.800,0.174,0.000,207.500
C,DeAndre Jordan,7200,LAC@OKC 08:00PM ET,33.893,LAC,0,0,39.786,28.079,37.812,40.750,12.000,43.200,0.137,9.000,209.500
SF/PF,Jabari Parker,7200,Mil@Chi 07:00PM ET,33.879,Mil,0,0,32.286,25.484,40.812,36.000,15.000,43.200,0.188,3.000,204.000
PF,Kristaps Porzingis,7200,NY@Hou 08:00PM ET,38.000,NY,0,0,43.250,29.632,41.875,50.000,15.500,43.200,0.324,12.500,224.500
SF,Carmelo Anthony,7100,NY@Hou 08:00PM ET,37.185,NY,0,0,37.893,28.897,35.562,48.750,24.000,42.600,0.319,12.500,224.500
PG,Derrick Rose,6500,NY@Hou 08:00PM ET,30.321,NY,0,0,27.321,23.750,33.938,28.500,11.500,39.000,0.197,12.500,224.500
PG,George Hill,6500,Pho@Uta 08:00PM ET,34.938,Uta,1,0,33.464,25.438,35.250,48.000,25.500,39.000,0.319,0.000,207.500
SG,Dwyane Wade,6400,Mil@Chi 07:00PM ET,33.379,Chi,1,0,31.036,25.950,33.625,33.000,16.000,38.400,0.297,0.000,204.000
SG,Devin Booker,6000,Pho@Uta 08:00PM ET,29.250,Pho,0,0,27.857,22.083,31.250,34.750,1.000,36.000,0.255,11.500,207.500
PG,Rajon Rondo,5900,Mil@Chi 07:00PM ET,28.422,Chi,1,0,30.393,18.917,19.812,2.250,5.000,35.400,0.286,0.000,204.000
SG,Eric Gordon,5800,NY@Hou 08:00PM ET,28.522,Hou,1,0,29.071,22.944,29.250,31.500,24.500,34.800,0.217,0.000,224.500
PF,Ryan Anderson,5700,NY@Hou 08:00PM ET,24.309,Hou,1,0,20.286,17.562,28.000,10.250,20.000,34.200,0.158,0.000,224.500
PG,Patrick Beverley,5500,NY@Hou 08:00PM ET,27.727,Hou,1,0,30.107,21.325,33.188,31.250,14.000,33.000,0.259,0.000,224.500
SG,J.J. Redick,5400,LAC@OKC 08:00PM ET,21.188,LAC,0,0,21.643,14.438,19.500,11.250,11.000,32.400,0.101,9.000,209.500
SG,Victor Oladipo,5400,LAC@OKC 08:00PM ET,28.500,OKC,1,0,29.250,19.479,20.188,2.750,6.500,32.400,0.370,0.000,209.500
SF,Trevor Ariza,5400,NY@Hou 08:00PM ET,27.772,Hou,1,0,33.107,21.235,29.188,39.500,15.000,32.400,0.280,0.000,224.500
