Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
SG/SF,Vince Carter,3600,Mem@Den 09:00PM ET,17.622,Mem,0,0,15.429,12.688,16.500,24.750,22.500,21.600,0.287,-3.500,214.500,1.323,17.169,15.109,32.750
SF,Andre Roberson,3600,Chi@OKC 09:30PM ET,18.219,OKC,1,0,20.857,11.216,19.000,12.250,12.500,21.600,0.338,-3.500,206.500,-4.321,18.299,17.334,18.000
PG,Spencer Dinwiddie,3600,NY@Bkn 07:30PM ET,15.140,Bkn,1,0,18.464,7.455,20.562,19.250,13.000,21.600,0.215,2.500,223.500,7.672,18.107,21.434,8.500
C,Joakim Noah,3600,NY@Bkn 07:30PM ET,22.369,NY,0,0,19.857,14.980,18.500,40.500,29.000,21.600,0.541,-2.500,223.500,7.672,20.128,22.925,10.750
PG,Kris Dunn,3600,Min@Cle 07:00PM ET,12.880,Min,0,0,6.500,7.286,12.812,14.750,22.000,21.600,0.154,6.500,215.500,-1.972,12.042,15.825,-1.500
SG,Gerald Henderson,3600,Phi@Dal 08:30PM ET,17.163,Phi,0,0,17.000,10.583,21.250,27.500,4.000,21.600,0.279,6.500,206.000,-9008.674,18.012,11.466,18.250
SF,Dorian Finney-Smith,3600,Phi@Dal 08:30PM ET,11.628,Dal,1,0,11.607,6.833,15.938,6.750,19.000,21.600,0.115,-6.500,206.000,-4.674,14.399,12.588,11.250
PF,Patrick Patterson,3500,Tor@Bos 07:30PM ET,19.336,Tor,0,0,13.321,12.926,19.875,23.000,23.000,21.000,0.407,6.000,215.000,-2.325,19.187,15.994,16.250
PG/SG,Jamal Murray,3500,Mem@Den 09:00PM ET,15.569,Den,1,0,9.036,8.380,18.688,22.250,8.250,21.000,0.285,3.500,214.500,1.323,16.856,21.731,25.000
PG,Andrew Harrison,3500,Mem@Den 09:00PM ET,16.160,Mem,0,0,9.143,10.129,9.250,6.000,30.000,21.000,0.299,-3.500,214.500,-7.835,9.294,19.997,22.000
PG,Michael Carter-Williams,3500,Chi@OKC 09:30PM ET,18.569,Chi,0,0,19.500,12.562,19.625,13.250,21.000,21.000,0.362,3.500,206.500,-4.321,18.512,16.350,12.000
PG/SG,E'Twaun Moore,3500,NO@Det 07:30PM ET,18.533,NO,0,0,17.250,12.880,20.062,4.250,16.750,21.000,0.342,7.500,211.500,-11.571,18.741,18.851,18.500
C,Aron Baynes,3500,NO@Det 07:30PM ET,10.517,Det,1,0,10.393,6.704,12.312,9.250,20.500,21.000,0.050,-7.500,211.500,-0.794,11.102,9.919,16.750
PG,Isaiah Whitehead,3500,NY@Bkn 07:30PM ET,16.681,Bkn,1,0,14.250,11.369,22.250,28.000,13.000,21.000,0.267,2.500,223.500,7.672,20.159,21.097,14.000
SG/SF,Thabo Sefolosha,3500,Atl@Mia 07:30PM ET,19.551,Atl,0,1,16.286,12.920,17.250,9.500,5.500,21.000,0.431,1.000,205.000,-13.660,16.405,15.384,0.000
SG,J.R. Smith,3500,Min@Cle 07:00PM ET,17.321,Cle,1,1,17.750,11.300,19.688,8.250,5.000,21.000,0.317,-6.500,215.500,-9005.653,17.783,16.491,0.000
PG,J.J. Barea,3500,Phi@Dal 08:30PM ET,24.167,Dal,1,1,27.625,18.275,21.500,24.250,16.000,21.000,0.639,-6.500,206.000,-4.674,21.632,18.766,0.000
PG,Sergio Rodriguez,3500,Phi@Dal 08:30PM ET,21.155,Phi,0,0,15.179,12.137,10.000,6.500,1.000,21.000,0.506,6.500,206.000,-9018.914,11.545,16.359,14.000
PF,Dwight Powell,3500,Phi@Dal 08:30PM ET,17.385,Dal,1,0,16.964,11.288,13.875,32.000,6.500,21.000,0.327,-6.500,206.000,-4.674,15.155,16.462,15.250
