Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
83,642118687,moklovin (6/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Roy Hibbert,0.58%,14.25
83,642118688,moklovin (7/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Sean Kilpatrick,0.57%,21.75
83,642118689,moklovin (8/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Denzel Valentine,0.57%,30.5
83,642118690,moklovin (9/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Amir Johnson,0.55%,13.75
83,642118691,moklovin (10/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Andre Iguodala,0.52%,21.75
83,642118692,moklovin (11/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Klay Thompson,0.49%,0
83,642118693,moklovin (12/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Thabo Sefolosha,0.45%,23
83,642118694,moklovin (13/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Greg Monroe,0.44%,29.75
83,642118695,moklovin (14/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Dion Waiters,0.44%,27.25
83,642118696,moklovin (15/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Ty Lawson,0.38%,12
83,642118697,moklovin (16/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Tristan Thompson,0.33%,29.5
83,642118698,moklovin (17/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Hassan Whiteside,0.33%,61.5
83,642118699,moklovin (18/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Garrett Temple,0.30%,15.75
83,642118700,moklovin (19/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Frank Kaminsky,0.30%,28.75
83,642118701,moklovin (20/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Mike Muscala,0.29%,20.5
83,642118702,moklovin (21/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Michael Beasley,0.29%,48.75
83,642118703,moklovin (22/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Giannis Antetokounmpo,0.26%,7
83,642118704,moklovin (23/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,LaMarcus Aldridge,0.26%,0
