DKFPS,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,Name,SVM,AdaBoost,Random Forest,Neural Network
16.896,SAC,False,POR,12.0,195.5,,SG/SF,3600.0,Bogdan Bogdanovic,34.33004276553722,21.75,19.42720238095238,15.426624454217691
14.625,MEM,True,HOU,8.0,214.0,,PF/C,3400.0,Brandan Wright,34.200111381755605,12.25,17.843869047619048,15.245266559822792
0.0,HOU,False,MEM,-8.0,214.0,,PG,3000.0,Briante Weber,33.48887466311389,3.25,4.4684027777777775,7.751871946984375
6.125,LAC,False,CHA,4.5,213.5,,PF/C,3000.0,Brice Johnson,34.11994541469126,2.75,8.4,8.453055959953875
0.0,LAC,False,CHA,4.5,213.5,,SG,3000.0,C.J. Williams,34.046972037763716,2.0,3.4781249999999995,7.795007898658367
9.318,POR,True,SAC,-12.0,195.5,,PF,3700.0,Caleb Swanigan,33.94299241400066,17.75,13.839374999999999,11.34510066474122
16.333,MEM,True,HOU,8.0,214.0,,SF/PF,3600.0,Chandler Parsons,34.238928694136206,2.0,-0.03833333333333333,16.61031897270645
0.0,HOU,False,MEM,-8.0,214.0,,PF/C,3000.0,Chinanu Onuaku,33.48887466311389,3.25,4.4684027777777775,7.751871946984375
0.0,GS,False,PHI,-8.5,230.0,,PF,3000.0,Chris Boucher,33.336046181773376,7.0,8.072589285714287,7.726063285917722
36.5,HOU,False,MEM,-8.0,214.0,,PG/SG,7500.0,Chris Paul,34.63153318459183,44.75,43.65252976190476,30.762088405023007
34.719,HOU,False,MEM,-8.0,214.0,,C,6700.0,Clint Capela,34.55544641982901,31.5,29.37369047619048,29.20997341397692
19.2,CHA,True,LAC,-4.5,213.5,,C,3600.0,Cody Zeller,34.20855637670036,6.25,13.649583333333336,19.3991581700165
1.938,MIL,False,DAL,-7.5,202.5,,PF/C,3000.0,D.J. Wilson,33.82186024071255,2.5,3.758541666666667,7.779923596123439
0.0,GS,False,PHI,-8.5,230.0,,C,3000.0,Damian Jones,33.336046181773376,7.0,8.072589285714287,7.726063285917722
45.183,POR,True,SAC,-12.0,195.5,,PG,8800.0,Damian Lillard,34.95235643817569,30.75,33.04,43.462342409092464
12.417,BOS,False,ATL,-6.5,202.5,,PF/C,3300.0,Daniel Theis,33.97806846113938,20.5,18.538333333333334,10.222108811256996
20.321,PHI,True,GS,8.5,230.0,,PF/C,4500.0,Dario Saric,34.00733210676409,25.0,33.362976190476196,20.68129347690445
15.875,GS,False,PHI,-8.5,230.0,,PF/C,3500.0,David West,33.731329035538046,16.75,3.4343452380952386,13.317435719705031
22.733,SAC,False,POR,12.0,195.5,,PG,4700.0,De'Aaron Fox,34.45292663031256,19.5,14.057619047619047,24.007234154358226
32.429,LAC,False,CHA,4.5,213.5,,C,6600.0,DeAndre Jordan,34.68203990044567,34.5,38.384791666666665,33.41476532371642
6.0,MIL,False,DAL,-7.5,202.5,,PG/SF,3000.0,DeAndre Liggins,33.87947583431459,1.25,9.01875,8.039303080769374
20.0,ATL,True,BOS,6.5,202.5,,SG/SF,3000.0,DeAndre' Bembry,34.28915462808894,26.5,32.61228174603174,21.779177070201733
3.114,HOU,False,MEM,-8.0,214.0,,PG,3000.0,Demetrius Jackson,33.539588654970466,2.5,3.2961111111111108,7.873890562617394
35.058,ATL,True,BOS,6.5,202.5,,PG,6600.0,Dennis Schroder,34.72368272117786,31.5,30.655625000000004,37.421131920267015
28.804,DAL,True,MIL,7.5,202.5,,PG/SG,6200.0,Dennis Smith Jr.,34.53640658514486,28.5,26.651666666666664,29.930020296706957
22.922,UTA,False,ORL,5.0,211.5,,PF/C,6200.0,Derrick Favors,34.21473310315379,29.75,22.673125,20.734518111197715
15.825,DAL,True,MIL,7.5,202.5,,PG/SG,3500.0,Devin Harris,34.199445788909486,13.0,9.167113095238097,17.53798045431445
25.367,ATL,True,BOS,6.5,202.5,,C,5200.0,Dewayne Dedmon,34.43299713573317,8.5,22.022708333333334,28.15747137450092
5.0,MEM,True,HOU,8.0,214.0,,PF/C,3000.0,Deyonta Davis,34.01880602944358,4.0,11.507678571428572,8.603400557130003
19.643,MEM,True,HOU,8.0,214.0,,SG/SF,4200.0,Dillon Brooks,34.3193022398216,34.0,32.37305555555555,19.349971323262185
21.063,DAL,True,MIL,7.5,202.5,,PF/C,4100.0,Dirk Nowitzki,34.32474951761373,13.5,10.778353174603176,24.204069381441506
