Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NNs,RF
SF,Wayne Ellington,3400,GS@Mia 07:30PM ET,17.667,MIA,1,0,17.571,10.396,18.250,0.000,-1592.975,9.000,20.400,217.000,12.000,13.866,14.333
SG,Courtney Lee,3400,NY@Ind 08:00PM ET,18.750,NY,0,0,19.143,12.833,21.125,0.000,0.713,27.000,20.400,217.500,5.500,16.927,19.412
SG,Monta Ellis,3400,NY@Ind 08:00PM ET,19.443,IND,1,0,13.679,11.958,16.312,0.000,0.739,26.000,20.400,217.500,-5.500,13.995,11.549
SF,Andre Roberson,3400,OKC@Uta 09:00PM ET,18.244,OKC,0,0,16.464,10.900,15.625,0.000,-1658.358,1.000,20.400,203.500,5.500,11.637,12.745
PF/C,Donatas Motiejunas,3400,Cle@NO 08:00PM ET,11.429,NO,1,0,7.375,4.667,6.375,0.000,-1028.229,10.000,20.400,217.000,7.000,4.757,10.760
PG,Isaiah Whitehead,3300,SA@Bkn 07:30PM ET,15.800,BKN,1,0,16.893,11.355,14.375,0.000,-1424.560,6.000,19.800,217.500,11.000,11.278,15.245
SG/SF,Kelly Oubre Jr.,3300,Was@Cha 07:00PM ET,13.494,WAS,0,0,15.679,7.812,19.188,0.000,0.007,20.000,19.800,213.500,5.000,14.310,16.039
PG,Brandon Jennings,3300,NY@Ind 08:00PM ET,19.917,NY,0,0,22.821,12.304,11.938,0.000,-19.289,18.500,19.800,217.500,5.500,11.831,9.971
SG/SF,Joe Johnson,3300,OKC@Uta 09:00PM ET,15.580,UTA,1,0,7.321,8.262,15.938,0.000,-1403.652,7.000,19.800,203.500,-5.500,9.693,10.975
SF/PF,Jerami Grant,3300,OKC@Uta 09:00PM ET,13.390,OKC,0,0,13.500,9.463,14.125,0.000,-1206.348,1.000,19.800,203.500,5.500,10.268,14.907
SG,E'Twaun Moore,3300,Cle@NO 08:00PM ET,18.056,NO,1,0,16.250,13.167,17.812,0.000,-10.206,28.000,19.800,217.000,7.000,15.265,14.775
SF,Tony Snell,3200,Hou@Mil 08:00PM ET,16.214,MIL,1,0,17.429,10.957,12.938,0.000,1.604,25.000,19.200,224.000,5.000,12.555,21.034
SG,Justin Holiday,3200,NY@Ind 08:00PM ET,14.739,NY,0,0,16.786,8.438,16.062,0.000,-11.856,27.000,19.200,217.500,5.500,13.309,19.490
SF,C.J. Miles,3200,NY@Ind 08:00PM ET,18.061,IND,1,0,14.643,11.487,11.125,0.000,0.686,13.500,19.200,217.500,-5.500,9.853,13.593
SF/PF,Dante Cunningham,3200,Cle@NO 08:00PM ET,14.855,NO,1,0,21.143,8.717,17.812,0.000,0.495,20.500,19.200,217.000,7.000,15.049,15.412
PF,Domantas Sabonis,3100,OKC@Uta 09:00PM ET,14.148,OKC,0,0,13.071,9.045,13.938,0.000,-1274.638,1.000,18.600,203.500,5.500,10.310,15.196
PG,Malcolm Delaney,3000,LAC@Atl 07:30PM ET,13.233,ATL,1,0,17.750,7.361,14.875,0.000,-1194.478,2.000,18.000,206.500,-7.500,10.716,10.392
SG,Alan Anderson,3000,LAC@Atl 07:30PM ET,5.412,LAC,0,0,7.429,2.450,4.812,0.000,-1.435,21.500,18.000,206.500,7.500,5.312,5.902
SF,Paul Pierce,3000,LAC@Atl 07:30PM ET,6.917,LAC,0,0,9.542,3.500,6.938,0.000,-1.833,24.000,18.000,206.500,7.500,6.922,4.294
SF,Mike Dunleavy,3000,LAC@Atl 07:30PM ET,10.138,ATL,1,0,13.607,5.897,9.312,0.000,-2.687,15.000,18.000,206.500,-7.500,7.797,10.794
SF,Wesley Johnson,3000,LAC@Atl 07:30PM ET,10.316,LAC,0,0,11.714,5.475,10.312,0.000,-2.734,24.000,18.000,206.500,7.500,9.202,6.887
