"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Klay Thompson",6700,"CHA@GS 12/29/2017 10:30PM ET",33.107,"GS"
"SF/PF","T.J. Warren",6700,"PHO@SAC 12/29/2017 10:00PM ET",30.764,"PHO"
"SG/SF","Brandon Ingram",6600,"LAC@LAL 12/29/2017 10:30PM ET",30.702,"LAL"
"PF/C","Zach Randolph",6600,"PHO@SAC 12/29/2017 10:00PM ET",29.226,"SAC"
"PG/SG","Austin Rivers",6500,"LAC@LAL 12/29/2017 10:30PM ET",27.331,"LAC"
"C","Clint Capela",6500,"HOU@WAS 12/29/2017 07:00PM ET",35.233,"HOU"
"PG/SG","Spencer Dinwiddie",6500,"BKN@MIA 12/29/2017 08:00PM ET",28.206,"BKN"
"PG/SG","Jordan Clarkson",6400,"LAC@LAL 12/29/2017 10:30PM ET",23.667,"LAL"
"PG","Goran Dragic",6400,"BKN@MIA 12/29/2017 08:00PM ET",29.629,"MIA"
"SF/PF","Harrison Barnes",6400,"DAL@NO 12/29/2017 08:00PM ET",31.639,"DAL"
"PF/C","Willie Cauley-Stein",6300,"PHO@SAC 12/29/2017 10:00PM ET",25.258,"SAC"
"C","Steven Adams",6300,"MIL@OKC 12/29/2017 08:00PM ET",30.525,"OKC"
"SF/PF","Rondae Hollis-Jefferson",6300,"BKN@MIA 12/29/2017 08:00PM ET",28.815,"BKN"
"PF/C","Kelly Olynyk",6300,"BKN@MIA 12/29/2017 08:00PM ET",22.838,"MIA"
"PF/C","Nikola Mirotic",6200,"IND@CHI 12/29/2017 08:00PM ET",30.864,"CHI"
"SF/PF","Otto Porter Jr.",6200,"HOU@WAS 12/29/2017 07:00PM ET",30.180,"WAS"
"SG","Eric Gordon",6100,"HOU@WAS 12/29/2017 07:00PM ET",27.675,"HOU"
"SF/PF","Carmelo Anthony",6100,"MIL@OKC 12/29/2017 08:00PM ET",30.721,"OKC"
"SF/PF","James Johnson",6100,"BKN@MIA 12/29/2017 08:00PM ET",25.914,"MIA"
"PG","Rajon Rondo",6100,"DAL@NO 12/29/2017 08:00PM ET",26.338,"NO"
"PG/SG","Tyler Johnson",6000,"BKN@MIA 12/29/2017 08:00PM ET",22.219,"MIA"
"SG/SF","Dion Waiters",6000,"BKN@MIA 12/29/2017 08:00PM ET",24.925,"MIA"
"SG/SF","Kent Bazemore",5900,"ATL@TOR 12/29/2017 07:30PM ET",28.779,"ATL"
"PG","Darren Collison",5800,"IND@CHI 12/29/2017 08:00PM ET",27.360,"IND"
"SF/PF","Danilo Gallinari",5800,"LAC@LAL 12/29/2017 10:30PM ET",24.591,"LAC"
"SG/SF","Trevor Ariza",5700,"HOU@WAS 12/29/2017 07:00PM ET",25.308,"HOU"
"SG/SF","Lance Stephenson",5600,"IND@CHI 12/29/2017 08:00PM ET",20.686,"IND"
"PF/C","Serge Ibaka",5600,"ATL@TOR 12/29/2017 07:30PM ET",26.117,"TOR"
"SF/PF","Thaddeus Young",5500,"IND@CHI 12/29/2017 08:00PM ET",26.879,"IND"
"SG/SF","Justin Holiday",5500,"IND@CHI 12/29/2017 08:00PM ET",26.886,"CHI"
"SG/SF","Taurean Prince",5500,"ATL@TOR 12/29/2017 07:30PM ET",26.265,"ATL"
"SG","Kentavious Caldwell-Pope",5400,"LAC@LAL 12/29/2017 10:30PM ET",27.776,"LAL"
"SG/SF","Caris LeVert",5400,"BKN@MIA 12/29/2017 08:00PM ET",24.993,"BKN"
"PF","Lauri Markkanen",5300,"IND@CHI 12/29/2017 08:00PM ET",28.315,"CHI"
"SG/SF","Nicolas Batum",5300,"CHA@GS 12/29/2017 10:30PM ET",24.838,"CHA"
"PF/C","Domantas Sabonis",5200,"IND@CHI 12/29/2017 08:00PM ET",26.068,"IND"
"C","Marcin Gortat",5200,"HOU@WAS 12/29/2017 07:00PM ET",24.493,"WAS"
"PF/C","Alex Len",5200,"PHO@SAC 12/29/2017 10:00PM ET",24.879,"PHO"
