Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
3300,3600,3500,3300,126.4911064,11.35,1.655294536,10,14.5,1627751,TOR,209,-7,0,ATL,,21700280,PF/C,Jakob Poeltl,Jakob Poeltl,9.75,12.87356999,11.38132576
3500,3500,3200,3000,244.9489743,22.3,7.075309181,14,35.25,1627832,TOR,209,-7,0,ATL,,21700280,PG,Fred VanVleet,Fred VanVleet,14,17.81246406,18.29791667
7700,8200,7800,7300,322.4903099,45.95,9.567392539,28.75,57,200768,TOR,209,-7,0,ATL,,21700280,PG,Kyle Lowry,Kyle Lowry,39.25,40.94454523,37.49083333
4800,5200,4940,4700,185.4723699,18.9,7.080960387,10.75,31,202685,TOR,209,-7,0,ATL,,21700280,C,Jonas Valanciunas,Jonas Valanciunas,22.25,23.63629548,23.0625
3000,3000,3000,3000,0,5.166666667,2.552232139,2,8.25,203485,TOR,209,-7,0,ATL,,21700280,PG,Lorenzo Brown,Lorenzo Brown,4.75,10.93311538,6.312083333
3400,3400,3400,3400,0,6.75,7.810249676,0,20,203512,TOR,209,-7,0,ATL,,21700280,C,Lucas Nogueira,Lucas Nogueira,11.25,13.17111959,13.0327381
3000,3000,3000,3000,0,2.916666667,3.441979405,0,7.75,1627761,ATL,209,7,1,TOR,,21700280,SG/SF,DeAndre' Bembry,DeAndre' Bembry,4.5,8.249279092,10.55764881
6700,7100,6680,6300,263.8181192,34.75,7.341661937,23,43,203471,ATL,209,7,1,TOR,,21700280,PG,Dennis Schroder,Dennis Schroder,40.5,33.09774316,34.026875
3000,3000,3000,3000,0,6,0,6,6,203705,ATL,209,7,1,TOR,,21700280,PG,Josh Magette,Josh Magette,3.5,9.385523043,6.871666667
3400,3700,3550,3500,86.60254038,10.4375,4.806814824,4.75,18,1627098,ATL,209,7,1,TOR,,21700280,PG/SG,Malcolm Delaney,Malcolm Delaney,15,10.57304166,11.68965278
3300,3400,3220,3000,183.3030278,12.95,9.556934655,1.5,28.5,1628463,ATL,209,7,1,TOR,,21700280,PF,Tyler Cavanaugh,Tyler Cavanaugh,11.75,11.66579123,11.58333333
4800,5200,5000,4600,209.7617696,30.05,13.30075186,17.5,55,203473,ATL,209,7,1,TOR,,21700280,C,Dewayne Dedmon,Dewayne Dedmon,28.25,25.47221427,21.75002976
3700,3900,3833.3333,3800,47.14045208,13.58333333,5.417307654,6.75,20,101141,ATL,209,7,1,TOR,,21700280,SF/PF,Ersan Ilyasova,Ersan Ilyasova,13,14.49547989,15.5077381
