Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
PG/SG,Raymond Felton,3300,DET@OKC 11/24/2017 08:00PM ET,14.735,OKC,13,15,14.00323102,13.57791667
PF/C,Brandan Wright,3300,MEM@DEN 11/24/2017 09:00PM ET,13.983,MEM,#N/A,#N/A,#N/A,#N/A
PF/C,Bismack Biyombo,3200,ORL@BOS 11/24/2017 07:30PM ET,12.389,ORL,13.3125,13.25,11.5714383,10.359375
PG,Shane Larkin,3200,ORL@BOS 11/24/2017 07:30PM ET,6.172,BOS,3.75,3.75,9.409697951,5.755833333
SF/PF,Semi Ojeleye,3200,ORL@BOS 11/24/2017 07:30PM ET,5.347,BOS,3.1,3.75,7.856331352,3.5525
C,Alan Williams,3200,NO@PHO 11/24/2017 09:00PM ET,0,PHO,#N/A,#N/A,#N/A,#N/A
SG/SF,Patrick McCaw,3200,CHI@GS 11/24/2017 10:30PM ET,6.95,GS,1.833333333,4,8.495154606,9.395138889
PG,Michael Carter-Williams,3200,CHA@CLE 11/24/2017 08:00PM ET,12.583,CHA,14.25,15.75,15.75777991,14.20895833
SF/PF,Trey Lyles,3200,MEM@DEN 11/24/2017 09:00PM ET,8.038,DEN,14.8125,9,10.0434493,10.87954365
PF/C,Marreese Speights,3100,ORL@BOS 11/24/2017 07:30PM ET,13.536,ORL,15.1875,12,11.00941503,12.15678571
C,Zaza Pachulia,3100,CHI@GS 11/24/2017 10:30PM ET,12.764,GS,13.6875,13,14.80472525,13.93595238
PF/C,Patrick Patterson,3100,DET@OKC 11/24/2017 08:00PM ET,7.353,OKC,6.1875,8.25,7.765170324,12.8240873
PG/SG,Tyler Dorsey,3000,NY@ATL 11/24/2017 07:30PM ET,2.625,ATL,#N/A,#N/A,#N/A,#N/A
SG/SF,DeAndre' Bembry,3000,NY@ATL 11/24/2017 07:30PM ET,7.438,ATL,3.25,9,9.221105751,11.4135092
SG/SF,Nicolas Brussino,3000,NY@ATL 11/24/2017 07:30PM ET,1.25,ATL,#N/A,#N/A,#N/A,#N/A
C,Miles Plumlee,3000,NY@ATL 11/24/2017 07:30PM ET,0,ATL,#N/A,#N/A,#N/A,#N/A
PG,Josh Magette,3000,NY@ATL 11/24/2017 07:30PM ET,4.625,ATL,16.5,2,6.416964578,2.898863636
PF,Luke Kornet,3000,NY@ATL 11/24/2017 07:30PM ET,0,NY,#N/A,#N/A,#N/A,#N/A
PF,Isaiah Hicks,3000,NY@ATL 11/24/2017 07:30PM ET,0,NY,#N/A,#N/A,#N/A,#N/A
