Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
PG/SG,Terry Rozier,4400,ORL@BOS 11/24/2017 07:30PM ET,20.684,BOS,13.65,16,18.54565522,19.58166667,1
C,Tyson Chandler,4400,NO@PHO 11/24/2017 09:00PM ET,21.446,PHO,28.75,21,23.84666187,27.483125,1
PG/SG,Jerian Grant,4400,CHI@GS 11/24/2017 10:30PM ET,21.203,CHI,13.8125,16,22.37762969,21.2714881,0
PG,Derrick Rose,4400,CHA@CLE 11/24/2017 08:00PM ET,19.786,CLE,0,0,0,0,0
SF/PF,JaMychal Green,4300,MEM@DEN 11/24/2017 09:00PM ET,17.1,MEM,19.5,19.5,21.89910634,18.65488095,0
SG/SF,Jonathon Simmons,4200,ORL@BOS 11/24/2017 07:30PM ET,22.056,ORL,18.75,23.75,19.7926907,22.25666667,0
PG,Mike James,4200,NO@PHO 11/24/2017 09:00PM ET,22.237,PHO,18.5625,31,22.31380917,27.6,1
PG,Emmanuel Mudiay,4200,MEM@DEN 11/24/2017 09:00PM ET,20.556,DEN,17.6875,23.75,19.17370055,27.334375,1
SG/SF,C.J. Miles,4100,TOR@IND 11/24/2017 08:00PM ET,17.313,TOR,0,0,0,0,0
PG,Tyler Ulis,4100,NO@PHO 11/24/2017 09:00PM ET,16.778,PHO,19.6875,20.25,22.05175046,21.64595238,1
SF/PF,Jerami Grant,4100,DET@OKC 11/24/2017 08:00PM ET,18.691,OKC,21.5625,18.75,15.71947809,22.04166667,1
SF/PF,Justise Winslow,4100,MIA@MIN 11/24/2017 08:00PM ET,18.265,MIA,19.5625,21.75,17.50463,20.79458333,0
SG/SF,Dillon Brooks,4100,MEM@DEN 11/24/2017 09:00PM ET,19.015,MEM,19.625,20.75,21.14139111,24.81083333,0
C,Joakim Noah,4000,NY@ATL 11/24/2017 07:30PM ET,0,NY,0,0,0,0,0
PG/SG,Frank Ntilikina,4000,NY@ATL 11/24/2017 07:30PM ET,15.217,NY,12.4375,19.75,14.50687751,15.81916667,0
SG/SF,Andre Iguodala,4000,CHI@GS 11/24/2017 10:30PM ET,16.469,GS,16.1875,20,16.33511211,17.42047619,1
PG/SG,David Nwaba,4000,CHI@GS 11/24/2017 10:30PM ET,18.313,CHI,0,0,0,0,0
SF,Michael Kidd-Gilchrist,4000,CHA@CLE 11/24/2017 08:00PM ET,17.205,CHA,21.3125,19.25,20.17715717,21.07854167,0
SG/SF,J.R. Smith,4000,CHA@CLE 11/24/2017 08:00PM ET,16.5,CLE,0,0,0,0,0
PF/C,Kelly Olynyk,4000,MIA@MIN 11/24/2017 08:00PM ET,19.559,MIA,10.9375,19.5,14.5254665,21.50529762,0
PG/SG,Tyler Johnson,4000,MIA@MIN 11/24/2017 08:00PM ET,20.031,MIA,20.1875,22,18.36334204,25.77333333,0
SF/PF,Chandler Parsons,4000,MEM@DEN 11/24/2017 09:00PM ET,16.683,MEM,17.375,20,18.08377974,18.75978175,0
PF/C,Frank Kaminsky,3900,CHA@CLE 11/24/2017 08:00PM ET,20.313,CHA,20.125,18.25,19.33442929,18.31263889,0
PG,Jarrett Jack,3800,NY@ATL 11/24/2017 07:30PM ET,17.867,NY,18.8125,22.5,17.33735574,22.09267857,0
SF/PF,Luke Babbitt,3800,NY@ATL 11/24/2017 07:30PM ET,13.912,ATL,0,0,0,0,0
SF/PF,Ersan Ilyasova,3800,NY@ATL 11/24/2017 07:30PM ET,13.143,ATL,10.375,12.75,13.55083824,11.20702381,1
SG,Marco Belinelli,3800,NY@ATL 11/24/2017 07:30PM ET,21.417,ATL,20.9375,16.5,20.05082195,15.27125,1
PF,Pascal Siakam,3800,TOR@IND 11/24/2017 08:00PM ET,18.172,TOR,19.85,16.5,16.15676399,15.03392857,0
SG/SF,Glenn Robinson III,3800,TOR@IND 11/24/2017 08:00PM ET,0,IND,0,0,0,0,0
PF/C,Marquese Chriss,3800,NO@PHO 11/24/2017 09:00PM ET,17.684,PHO,15.9375,15.25,20.38467909,11.78845238,1
SG/SF,Paul Zipser,3800,CHI@GS 11/24/2017 10:30PM ET,10.212,CHI,4.25,17.5,11.61058845,12.22877976,0
SF/PF,Jae Crowder,3800,CHA@CLE 11/24/2017 08:00PM ET,16.792,CLE,17.5,16.5,15.29550122,19.0125,1
SF/PF,Marvin Williams,3800,CHA@CLE 11/24/2017 08:00PM ET,18.603,CHA,17.5,19.5,17.10356657,23.51357143,0
PF/C,Tristan Thompson,3800,CHA@CLE 11/24/2017 08:00PM ET,13.781,CLE,0,0,0,0,0
SG/SF,Stanley Johnson,3800,DET@OKC 11/24/2017 08:00PM ET,16.804,DET,13.4375,19.75,11.82262122,15.85458333,0
PF/C,Kenneth Faried,3800,MEM@DEN 11/24/2017 09:00PM ET,9.533,DEN,10.9375,9.25,13.12831004,7.504583333,1
SG/SF,Terrence Ross,3700,ORL@BOS 11/24/2017 07:30PM ET,19.403,ORL,17.375,12.75,16.27880105,14.82224206,0
PG/SG,D.J. Augustin,3700,ORL@BOS 11/24/2017 07:30PM ET,18.523,ORL,0,0,0,0,0
SF/PF,OG Anunoby,3700,TOR@IND 11/24/2017 08:00PM ET,12.676,TOR,13.35,13.5,11.2279901,14.53916667,0
SG/SF,Norman Powell,3700,TOR@IND 11/24/2017 08:00PM ET,16.923,TOR,4.75,13,9.70943233,15.28705357,0
SG/SF,E'Twaun Moore,3700,NO@PHO 11/24/2017 09:00PM ET,21.097,NO,23.75,20,18.04184032,19.99602273,0
SF/PF,Jeff Green,3700,CHA@CLE 11/24/2017 08:00PM ET,17.25,CLE,16.0625,17,15.6730739,18.69244048,1
PG,Ish Smith,3700,DET@OKC 11/24/2017 08:00PM ET,18.588,DET,17,13.25,13.24689031,17.5852381,0
PF/C,Gorgui Dieng,3700,MIA@MIN 11/24/2017 08:00PM ET,13.65,MIN,8.25,12,11.8727224,11.1725,1
PG,Cory Joseph,3600,TOR@IND 11/24/2017 08:00PM ET,19.639,IND,18.85,14.25,14.65512179,16.80714286,1
SG/SF,Lance Stephenson,3600,TOR@IND 11/24/2017 08:00PM ET,16.958,IND,21.3,17.5,15.19235639,16.50473214,1
SG/SF,Josh Jackson,3600,NO@PHO 11/24/2017 09:00PM ET,17.645,PHO,19.5625,17.75,20.79985258,21.57875,1
PG/SG,Jameer Nelson,3600,NO@PHO 11/24/2017 09:00PM ET,18.344,NO,20.0625,18.75,16.68525701,14.56517857,0
SF/PF,Omri Casspi,3600,CHI@GS 11/24/2017 10:30PM ET,12.75,GS,14.5625,15,13.28382575,17.47973214,1
PG/SG,Shaun Livingston,3600,CHI@GS 11/24/2017 10:30PM ET,12.234,GS,15.0625,18,14.22173003,15.48958333,1
SG/SF,Kyle Korver,3600,CHA@CLE 11/24/2017 08:00PM ET,17.389,CLE,19.875,16.75,15.34896102,21.19428571,1
C,Cody Zeller,3600,CHA@CLE 11/24/2017 08:00PM ET,18.019,CHA,15.9375,17.5,15.7731799,18.07779762,0
PG/SG,Malik Monk,3600,CHA@CLE 11/24/2017 08:00PM ET,14.283,CHA,3.666666667,4,9.097543583,7.287529762,0
PG/SG,Iman Shumpert,3600,CHA@CLE 11/24/2017 08:00PM ET,13.208,CLE,0,0,0,0,0
PF/C,Bam Adebayo,3600,MIA@MIN 11/24/2017 08:00PM ET,9.5,MIA,2.625,9.5,8.845789398,10.15888889,0
SG,Jamal Crawford,3600,MIA@MIN 11/24/2017 08:00PM ET,15.444,MIN,13.9,14.25,13.78601028,13.73166667,1
PF/C,Mason Plumlee,3600,MEM@DEN 11/24/2017 09:00PM ET,16.903,DEN,15.3125,19.25,15.33844507,15.27704545,1
SF/PF,Juancho Hernangomez,3600,MEM@DEN 11/24/2017 09:00PM ET,7.964,DEN,0,0,0,0,0
SG/SF,James Ennis III,3600,MEM@DEN 11/24/2017 09:00PM ET,15.559,MEM,8.5,14.5,13.49807673,9.184166667,0
SF/PF,Doug McDermott,3500,NY@ATL 11/24/2017 07:30PM ET,14.926,NY,15,18,14.08858299,14.04636905,0
C,Mike Muscala,3500,NY@ATL 11/24/2017 07:30PM ET,16.333,ATL,0,0,0,0,0
PF/C,Kyle O'Quinn,3500,NY@ATL 11/24/2017 07:30PM ET,18.015,NY,12.125,15.5,13.02387418,14.96321429,0
C,Aron Baynes,3500,ORL@BOS 11/24/2017 07:30PM ET,14.882,BOS,9.55,15.75,11.42529272,16.57625,1
PG,Fred VanVleet,3500,TOR@IND 11/24/2017 08:00PM ET,12.015,TOR,17.35,13.25,12.54436074,15.76580357,0
PF/C,Al Jefferson,3500,TOR@IND 11/24/2017 08:00PM ET,16.725,IND,0,0,0,0,0
PG/SG,Delon Wright,3500,TOR@IND 11/24/2017 08:00PM ET,16.536,TOR,0,0,0,0,0
SF/PF,Dante Cunningham,3500,NO@PHO 11/24/2017 09:00PM ET,12.639,NO,10.1875,13,13.54039903,16.55505952,0
PF/C,David West,3500,CHI@GS 11/24/2017 10:30PM ET,15.676,GS,19.8125,18.5,15.74078906,19.48416667,1
SF/PF,Anthony Tolliver,3500,DET@OKC 11/24/2017 08:00PM ET,14.393,DET,15.2,15.25,11.15773573,16.42541667,0
SG/SF,Shabazz Muhammad,3500,MIA@MIN 11/24/2017 08:00PM ET,7.556,MIN,6.85,7.75,10.7387447,9.76875,1
SG/SF,Ben McLemore,3500,MEM@DEN 11/24/2017 09:00PM ET,9.458,MEM,8.875,11.75,12.72512275,9.293333333,0
SF/PF,Lance Thomas,3400,NY@ATL 11/24/2017 07:30PM ET,8.357,NY,6.4375,9.75,9.844139905,7.679166667,0
PG/SG,Malcolm Delaney,3400,NY@ATL 11/24/2017 07:30PM ET,12.828,ATL,10.4375,14,12.75881309,9.722916667,1
PF/C,Guillermo Hernangomez,3400,NY@ATL 11/24/2017 07:30PM ET,7.583,NY,0,0,0,0,0
