max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Random Forest,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
4300.0,5300.0,4616.6667,4400.0,323.608130649,16.375,12.1481737311,2.5,38.0,1626179.0,PG/SG,BOS,205.0,-4.0,0,IND,,21700281.0,Terry Rozier,26.0,24.07091393849207,33.22560775387274
3000.0,3000.0,3000.0,3000.0,0.0,4.0,0.0,4.0,4.0,1627824.0,PF/C,BOS,205.0,-4.0,0,IND,,21700281.0,Guerschon Yabusele,20.0,11.298437500000002,29.65525742371185
3200.0,3200.0,3200.0,3200.0,0.0,5.125,5.21765831895,0.0,15.25,1628400.0,SF/PF,BOS,205.0,-4.0,0,IND,,21700281.0,Semi Ojeleye,22.25,12.244512648809524,18.370201752511406
5100.0,6300.0,5550.0,5100.0,373.050488093,20.4166666667,5.29478254721,13.75,31.25,203935.0,SG/SF,BOS,205.0,-4.0,0,IND,,21700281.0,Marcus Smart,29.75,24.240606398809522,15.063039062999824
3000.0,3000.0,3000.0,3000.0,0.0,2.5,3.0,-0.5,5.5,1627846.0,PF,BOS,205.0,-4.0,0,IND,,21700281.0,Abdel Nader,20.75,10.982607886904763,24.60896281571539
3300.0,3300.0,3300.0,3300.0,0.0,5.3,4.4955533586,2.5,14.25,1628464.0,PF/C,BOS,205.0,-4.0,0,IND,,21700281.0,Daniel Theis,21.75,12.25757068452381,19.9658671310047
3500.0,3800.0,3600.0,3500.0,115.470053838,11.6666666667,8.90653630144,5.5,30.75,203382.0,C,BOS,205.0,-4.0,0,IND,,21700281.0,Aron Baynes,22.5,17.893929811507938,27.23248768902776
6000.0,6200.0,5983.3333,5700.0,177.169096879,29.2916666667,7.07904281822,18.5,37.75,1628369.0,SF/PF,BOS,205.0,-4.0,0,IND,,21700281.0,Jayson Tatum,24.75,27.79942336309524,22.521205806831716
7000.0,7600.0,7366.6667,6900.0,274.873708375,30.2916666667,3.81722157538,24.5,36.25,201143.0,PF/C,BOS,205.0,-4.0,0,IND,,21700281.0,Al Horford,27.5,32.03694196428572,23.227583060136265
8300.0,8500.0,8300.0,8100.0,152.752523165,42.9166666667,9.61083011792,34.25,62.75,202681.0,PG,BOS,205.0,-4.0,0,IND,,21700281.0,Kyrie Irving,26.75,37.83118489583333,28.91456601103158
3200.0,3500.0,3275.0,3200.0,129.903810568,3.75,2.45586033805,0.0,6.5,203499.0,PG,BOS,205.0,-4.0,0,IND,,21700281.0,Shane Larkin,25.25,13.588337053571427,26.64663674589909
6300.0,7200.0,6860.0,6700.0,185.47236991,28.6,11.1731821788,17.75,49.75,1626167.0,C,IND,205.0,4.0,1,BOS,,21700281.0,Myles Turner,26.5,34.26644345238095,49.59783764798907
3000.0,3000.0,3000.0,3000.0,0.0,4.5,3.19667796314,0.0,8.75,1628388.0,SF/PF,IND,205.0,4.0,1,BOS,,21700281.0,TJ Leaf,21.75,13.008779761904762,8.728059993493332
5900.0,6300.0,6080.0,5700.0,222.710574513,29.55,6.67345487735,17.0,36.75,201152.0,SF/PF,IND,205.0,4.0,1,BOS,,21700281.0,Thaddeus Young,25.25,26.599494906135536,36.72407359461434
3500.0,3700.0,3620.0,3600.0,40.0,17.95,7.07354225265,6.25,26.25,202709.0,PG,IND,205.0,4.0,1,BOS,,21700281.0,Cory Joseph,22.75,15.26468141233766,10.775469602326176
7800.0,8000.0,7600.0,7100.0,289.827534924,43.85,13.5135117568,27.75,65.75,203506.0,PG/SG,IND,205.0,4.0,1,BOS,,21700281.0,Victor Oladipo,28.5,37.86431361607143,52.57065431505352
5800.0,6100.0,5940.0,5500.0,224.499443206,33.9,5.66259657754,30.0,45.0,201954.0,PG,IND,205.0,4.0,1,BOS,,21700281.0,Darren Collison,25.5,26.50831187042125,23.17731235629754
4600.0,4500.0,4420.0,4300.0,74.8331477355,29.05,8.20731381147,21.75,40.75,202711.0,SG/SF,IND,205.0,4.0,1,BOS,,21700281.0,Bojan Bogdanovic,20.25,24.70957961309524,35.65206873421758
3000.0,3000.0,3000.0,3000.0,0.0,1.0,0.0,1.0,1.0,1626202.0,PG/SG,IND,205.0,4.0,1,BOS,,21700281.0,Joe Young,23.5,12.804464285714287,10.8750356194479
3500.0,3700.0,3560.0,3500.0,80.0,21.65,6.29007154172,9.25,26.25,202362.0,SG/SF,IND,205.0,4.0,1,BOS,,21700281.0,Lance Stephenson,22.75,19.93227306547619,12.250922177682657
