Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Mike Conley,6700,Mem@LAC 10:30PM ET,34.570,Mem,0,0,36.286,26.893,32.625,28.750,2.000,40.200,0.299,-1.500,197.000,-22.933,44.250
SG,Klay Thompson,6600,Por@GS 10:30PM ET,32.321,GS,1,0,39.250,24.588,37.938,36.750,10.000,39.600,0.240,-16.000,222.500,10.457,28.750
PG,Dennis Schroder,6600,Atl@Orl 07:00PM ET,32.007,Atl,0,0,38.250,24.368,30.375,34.250,19.000,39.600,0.217,-2.000,207.000,-0.721,36.500
PF/C,Serge Ibaka,6500,Atl@Orl 07:00PM ET,30.771,Orl,1,0,34.107,23.476,32.562,30.000,11.500,39.000,0.218,2.000,207.000,-0.721,25.250
PG,Derrick Rose,6400,Mil@NY 07:30PM ET,30.583,NY,1,0,35.536,23.897,34.938,26.250,4.000,38.400,0.219,3.500,213.000,-8.894,24.750
C,Nikola Vucevic,6300,Atl@Orl 07:00PM ET,33.977,Orl,1,0,34.929,25.236,37.625,42.250,4.000,37.800,0.366,2.000,207.000,-13.221,32.000
SG/SF,Josh Richardson,6200,Mia@Sac 10:30PM ET,22.750,Mia,0,0,25.750,15.875,34.812,25.000,20.000,37.200,0.083,7.500,204.000,-4.885,28.000
SG,Dwyane Wade,6200,Chi@Cle 08:00PM ET,33.109,Chi,0,1,35.286,25.383,30.000,24.750,28.000,37.200,0.332,4.000,204.000,-2.885,24.500
SG/SF,Evan Fournier,6000,Atl@Orl 07:00PM ET,28.742,Orl,1,1,32.821,21.000,31.562,34.750,26.000,36.000,0.215,2.000,207.000,-10.129,18.750
SF,Rudy Gay,6000,Mia@Sac 10:30PM ET,34.740,Sac,1,1,29.000,26.542,28.125,31.750,8.000,36.000,0.451,-7.500,204.000,-2.885,0.000
PG,Elfrid Payton,5900,Atl@Orl 07:00PM ET,27.854,Orl,1,0,26.714,20.511,27.312,43.750,23.000,35.400,0.269,2.000,207.000,-0.721,36.000
